,education_mean,education_min,education_max,education_obs,education_std_dev,hwage_mean,hwage_min,hwage_max,hwage_obs,hwage_std_dev,experience_mean,experience_min,experience_max,experience_obs,experience_std_dev,female_mean,female_min,female_max,female_obs,female_std_dev,afr_amer_mean,afr_amer_min,afr_amer_max,afr_amer_obs,afr_amer_std_dev,asian_mean,asian_min,asian_max,asian_obs,asian_std_dev,hispanic_mean,hispanic_min,hispanic_max,hispanic_obs,hispanic_std_dev,in_union_mean,in_union_min,in_union_max,in_union_obs,in_union_std_dev,lunion_mean,lunion_min,lunion_max,lunion_obs,lunion_std_dev
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mean,Min,Max,Obs,Std.dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,14.021,2.,21.,69180.,2.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hourly Wage,29.913,1.02,99.99,69180.,18.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experience,22.374,-10.,77.,69180.,14.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,0.481,0.,1.,69180.,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,African Amerincan,0.109,0.,1.,69180.,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asian,0.072,0.,1.,69180.,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,0.217,0.,1.,69180.,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In Union,0.546,0.,1.,69180.,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor Union,0.014,0.,1.,69180.,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
